StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume,PriceLag48,PPC,PPCMA_6,PPCMA_12,PPCMA_24,PCMA_6,PCMA_12,PCMA_24,MAD_6,MAD_12,MAD_24,PR_6,PR_12,PR_24,TR_6,ATR_6,TR_12,ATR_12,TR_24,ATR_24,RSI_6,RSI_12,RSI_24,PMOM_6,PMOM_12,PMOM_24,MACD,ADX_6,ADX_12,ADX_24
2024-05-30 00:00:00+00:00,APXMIDP,2024-05-30,3,83.64,1482.6,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,
2024-05-30 00:30:00+00:00,APXMIDP,2024-05-30,4,87.18,1746.05,,,,,,,,,,,,0.0,0.0,0.0,3.5400000000000063,1.7700000000000031,3.5400000000000063,1.7700000000000031,3.5400000000000063,1.7700000000000031,,,,,,,0.0,,,
2024-05-30 01:00:00+00:00,APXMIDP,2024-05-30,5,82.55,1959.0,,,,,,,,,,,,100.0,100.0,100.0,4.63000000000001,2.7233333333333385,4.63000000000001,2.7233333333333385,4.63000000000001,2.7233333333333385,,,,,,,0.0,,,
2024-05-30 01:30:00+00:00,APXMIDP,2024-05-30,6,73.44,2017.55,,,,,,,,,,,,100.0,100.0,100.0,13.740000000000009,5.477500000000006,13.740000000000009,5.477500000000006,13.740000000000009,5.477500000000006,,,,,,,0.0,,,
2024-05-30 02:00:00+00:00,APXMIDP,2024-05-30,7,49.58,2030.2,,,,,,,,,,,,100.0,100.0,100.0,37.60000000000001,11.902000000000006,37.60000000000001,11.902000000000006,37.60000000000001,11.902000000000006,,,,,,,0.0,,,
2024-05-30 02:30:00+00:00,APXMIDP,2024-05-30,8,49.02,2147.35,,,,,,,,,,,,100.0,100.0,100.0,38.160000000000004,16.27833333333334,38.160000000000004,16.27833333333334,38.160000000000004,16.27833333333334,,,,,,,0.0,,,
2024-05-30 03:00:00+00:00,APXMIDP,2024-05-30,9,55.32,2301.3,,,,,,,,,,,,83.49056603773586,83.49056603773586,83.49056603773586,38.160000000000004,22.63833333333334,38.160000000000004,19.40428571428572,38.160000000000004,19.40428571428572,,,,-28.32,,,0.0,,,
2024-05-30 03:30:00+00:00,APXMIDP,2024-05-30,10,51.7,1963.75,,,,,,,,,,,,92.00715776916194,92.9769392033543,92.9769392033543,33.529999999999994,27.63666666666667,38.160000000000004,21.748750000000005,38.160000000000004,21.748750000000005,,,,-35.480000000000004,,,0.0,,,
2024-05-30 04:00:00+00:00,APXMIDP,2024-05-30,11,53.82,1706.45,,,,,,,,,,,,80.34398034398035,87.42138364779876,87.42138364779876,24.419999999999995,30.935000000000002,38.160000000000004,23.572222222222226,38.160000000000004,23.572222222222226,,,,-28.729999999999997,,,0.0,,,
2024-05-30 04:30:00+00:00,APXMIDP,2024-05-30,12,49.05,1745.15,,,,,,,,,,,,99.52380952380962,99.92138364779876,99.92138364779876,6.299999999999997,29.695000000000004,38.160000000000004,25.031000000000006,38.160000000000004,25.031000000000006,,,,-24.39,,,0.0,,,
2024-05-30 05:00:00+00:00,APXMIDP,2024-05-30,13,71.92,2115.05,,,,,,,,,,,,0.0,39.98951781970651,39.98951781970651,22.9,27.244999999999994,38.160000000000004,26.224545454545456,38.160000000000004,26.224545454545456,,,,22.340000000000003,,,0.0,,,
2024-05-30 05:30:00+00:00,APXMIDP,2024-05-30,14,89.4,2225.1,,,,,,,,,,,,0.0,0.0,0.0,40.35000000000001,27.61,40.38,27.404166666666672,40.38,27.404166666666672,,,,40.38,,,0.0,,,
2024-05-30 06:00:00+00:00,APXMIDP,2024-05-30,15,80.75,2961.65,,,,,,,,,,,,21.4374225526642,21.42149578999506,21.42149578999506,40.35000000000001,27.974999999999998,40.38,30.769166666666674,40.38,28.402307692307698,,,,25.43,-2.8900000000000006,,0.0,,,
2024-05-30 06:30:00+00:00,APXMIDP,2024-05-30,16,92.09,2905.2,,,,,,,,,,,,0.0,0.0,0.0,43.040000000000006,29.560000000000002,43.07,34.06333333333334,43.07,29.450000000000006,,,,40.39,4.909999999999997,,0.0,,,
2024-05-30 07:00:00+00:00,APXMIDP,2024-05-30,17,79.1,2483.8,,,,,,,,,,,,30.181226765799273,30.160204318551216,30.160204318551216,43.040000000000006,32.663333333333334,43.07,37.26666666666667,43.07,30.358000000000004,,,,25.279999999999994,-3.450000000000003,,0.0,,,
2024-05-30 07:30:00+00:00,APXMIDP,2024-05-30,18,81.34,2584.2,,,,,,,,,,,,53.296975706494784,24.959368469932667,24.959368469932667,20.17,34.975,43.07,39.71083333333333,43.07,31.152500000000003,,,,32.290000000000006,7.900000000000006,,0.0,,,
2024-05-30 08:00:00+00:00,APXMIDP,2024-05-30,19,81.42,2168.1,,,,,,,,,,,,82.14010777521166,24.77362433248201,24.77362433248201,12.990000000000009,33.323333333333345,43.07,40.166666666666664,43.07,31.85352941176471,,,,9.5,31.840000000000003,,0.0,,,
2024-05-30 08:30:00+00:00,APXMIDP,2024-05-30,20,76.59,2203.25,,,,,,,,,,,,100.0,36.013011152416354,35.98792663106571,15.5,29.181666666666672,43.040000000000006,40.57333333333334,43.07,32.47666666666667,,,,-12.810000000000002,27.57,,0.0,,,
2024-05-30 09:00:00+00:00,APXMIDP,2024-05-30,21,68.48,2453.65,,,,,,,,,,,,100.0,54.85594795539033,54.81773856512654,23.61,26.39166666666667,43.040000000000006,40.980000000000004,43.07,33.034210526315796,,,,-12.269999999999996,13.160000000000004,,0.0,,,
2024-05-30 09:30:00+00:00,APXMIDP,2024-05-30,22,63.41,2518.35,,,,,,,,,,,,100.0,66.635687732342,66.58927327606224,18.010000000000005,22.220000000000002,43.040000000000006,41.38666666666666,43.07,33.536,,,,-28.680000000000007,11.709999999999994,,0.0,,,
2024-05-30 10:00:00+00:00,APXMIDP,2024-05-30,23,55.12,1894.75,,,,,,,,,,,,100.0,85.89684014869889,85.83700951938705,26.300000000000004,19.430000000000003,43.040000000000006,41.79333333333334,43.07,33.99,,,,-23.979999999999997,1.2999999999999972,,0.0,,,
2024-05-30 10:30:00+00:00,APXMIDP,2024-05-30,24,54.79,2412.1,,,,,,,,,,,,100.0,100.0,86.60320408637104,26.630000000000003,20.50666666666667,37.300000000000004,41.72166666666667,43.07,34.402727272727276,,,,-26.550000000000004,5.740000000000002,,0.0,,,
2024-05-30 11:00:00+00:00,APXMIDP,2024-05-30,25,58.49,2334.25,,,,,,,,,,,,83.02752293577981,90.08042895442358,78.01253772927792,21.800000000000004,21.975000000000005,37.300000000000004,41.65,43.07,34.77956521739131,,,,-22.93,-13.43,,0.0,,,
2024-05-30 11:30:00+00:00,APXMIDP,2024-05-30,26,53.54,2043.0,,,,,,,,,,,,100.0,100.0,89.50545623403762,14.940000000000005,21.88166666666667,38.550000000000004,41.4975,43.07,35.12500000000001,,,,-23.050000000000004,-35.86000000000001,,0.0,,,
2024-05-30 12:00:00+00:00,APXMIDP,2024-05-30,27,62.29,2553.0,,,,,,,,,,,,11.347517730496431,77.30220492866408,69.1896912003715,9.869999999999997,19.59166666666667,38.550000000000004,41.345000000000006,43.07,36.919583333333335,,,,-6.190000000000005,-18.46,-21.35,-0.6449499999999944,,,
2024-05-30 12:30:00+00:00,APXMIDP,2024-05-30,28,57.36,2740.15,,,,,,,,,,,,56.34285714285714,86.29842180774749,80.63617367076853,8.75,18.048333333333336,27.880000000000003,40.07916666666667,43.07,38.56666666666667,,,,-6.049999999999997,-34.730000000000004,-29.820000000000007,-1.4720192307692344,,,
2024-05-30 13:00:00+00:00,APXMIDP,2024-05-30,29,64.25,2624.25,,,,,,,,,,,,0.0,61.58536585365854,64.63895983283028,10.71,15.450000000000003,27.880000000000003,38.81333333333334,43.07,40.16833333333333,,,,9.130000000000003,-14.849999999999994,-18.299999999999997,-2.105046296296294,,,
2024-05-30 13:30:00+00:00,APXMIDP,2024-05-30,30,62.83,2677.3,,,,,,,,,,,,13.258636788048566,66.67862266857964,67.93591827257953,10.71,12.796666666666669,27.880000000000003,37.54750000000001,43.07,41.39041666666667,,,,8.04,-18.510000000000005,-10.61,-2.376190476190473,,,
2024-05-30 14:00:00+00:00,APXMIDP,2024-05-30,31,68.67,2890.25,,,,,,,,,,,,0.0,34.36008676789588,54.376596238681216,15.130000000000003,11.685000000000002,23.050000000000004,35.87916666666667,43.07,41.61833333333333,,,,10.18,-12.75,19.090000000000003,-1.6230028735632231,,,
2024-05-30 14:30:00+00:00,APXMIDP,2024-05-30,32,77.01,2594.65,,,,,,,,,,,,0.0,0.0,35.03717472118959,19.650000000000006,12.47,23.470000000000006,34.24833333333334,43.040000000000006,41.821666666666665,,,,23.470000000000006,0.4200000000000017,27.990000000000002,-0.7741666666666731,,,
2024-05-30 15:00:00+00:00,APXMIDP,2024-05-30,33,77.06,2445.65,,,,,,,,,,,,0.0,0.0,34.92100371747212,19.700000000000003,14.108333333333336,23.520000000000003,32.62166666666667,43.040000000000006,42.025,,,,14.770000000000003,8.579999999999998,21.740000000000002,-0.16688172043011207,,,
2024-05-30 15:30:00+00:00,APXMIDP,2024-05-30,34,82.23,2505.95,,,,,,,,,,,,0.0,0.0,22.908921933085498,19.400000000000006,15.883333333333335,28.690000000000005,31.42583333333334,43.040000000000006,42.22833333333333,,,,24.870000000000005,18.820000000000007,30.53,0.6637499999999932,,,
